risk_of_physical_damage: warning | object_inpath:true | object_distance: 8 | normal_frame: 0.0 | object_name: tube   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [8],slot:object_distance,values: [8]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [tube],slot:object_name,values: [tube]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a tube in the drone's flight path at a distance of 8m. 
risk_of_physical_damage: warning | object_distance: 1.5 | normal_frame: 0.0 | object_name: ceiling of building   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [ceiling of building],slot:object_name,values: [ceiling of building]|| Risk of physical damage! The drone has a damaged frame.     Risk of physical damage! There's a ceiling only 1.5m away. 
risk_of_physical_damage: warning | object_distance: 1.5 | pilot_experienced: 0.0 | object_distance: 1.5 | object_distance: 1.5 | weather: dark | object_inpath:true | object_distance: 1.5 | object_name: wall   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [0.0],slot:pilot_experienced,values: [0.0]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [dark],slot:weather,values: [dark]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [1.5],slot:object_distance,values: [1.5]| act:INFORM,canonical_values: [wall],slot:object_name,values: [wall] || Risk of physical damage! There's a wall in the drone's flight path at a distance of 1.5m. The drone is flying in a dark setting. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 3 | object_name: storagehouse on stilts   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [3],slot:object_distance,values: [3]| act:INFORM,canonical_values: [storagehouse on stilts],slot:object_name,values: [storagehouse on stilts] || Risk of physical damage! There's a storehouse in the drone's flight path at a distance of 3m. 
risk_of_internal_damage: True | weather: gloomy | waterproof_drone: False   |   act:INFORM,canonical_values: [True],slot:risk_of_internal_damage,values: [True]| act:INFORM,canonical_values: [gloomy],slot:weather,values: [gloomy]| act:INFORM,canonical_values: [False],slot:waterproof_drone,values: [False]|| Risk of internal damage! The weather is overcast and the drone is not waterproof. 
risk_of_physical_damage: advisory | object_distance: 2 | pilot_experienced: False | object_distance: 2 | object_inpath:true | object_distance: 2 | object_name: rocks   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [rocks],slot:object_name,values: [rocks] || Risk of physical damage! There's are rocks in the drone's flight path at a distance of 2m. 
risk_of_physical_damage: warning | object_inpath:true | object_distance: 4 | object_name: speed boat 1   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [true],slot:object_inpath,values: [true]| act:INFORM,canonical_values: [4],slot:object_distance,values: [4]| act:INFORM,canonical_values: [speed boat 1],slot:object_name,values: [speed boat 1] || Risk of physical damage! There's a speedboat in the drone's flight path at a distance of 1m. 
risk_of_physical_damage: warning | altitude: 1.0 | battery_level: 20.0 | normal_frame: 0.0 | object_distance: 1 | object_name: tree 2   |   act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1.0],slot:altitude,values: [1.0]| act:INFORM,canonical_values: [20.0],slot:battery_level,values: [20.0]| act:INFORM,canonical_values: [0.0],slot:normal_frame,values: [0.0]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [tree 2],slot:object_name,values: [tree 2]|| Risk of physical damage! The drone has a damaged frame and low battery. It's flying at an altitude of 1m.     Risk of physical damage! There's a tree only 1m away. 
risk_of_physical_damage: advisory | object_distance: 2 | pilot_experienced: False | object_distance: 2 | altitude: 3.0 | battery_level: 30.0 | object_name: Ground   |   act:INFORM,canonical_values: [advisory],slot:risk_of_physical_damage,values: [advisory]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [False],slot:pilot_experienced,values: [False]| act:INFORM,canonical_values: [2],slot:object_distance,values: [2]| act:INFORM,canonical_values: [3.0],slot:altitude,values: [3.0]| act:INFORM,canonical_values: [30.0],slot:battery_level,values: [30.0]| act:INFORM,canonical_values: [Ground],slot:object_name,values: [Ground]|| Risk of physical damage! The drone has low battery. It's flying at an altitude of 3m.     Risk of physical damage! The ground is only 2m away. 
lost_connection: 1.0 | distance_from_remote_control: 4430.0 | battery_level: 40.0 | risk_of_physical_damage: warning | object_distance: 1 | altitude: 5.0 | battery_level: 40.0 | object_name: rocks   |   act:INFORM,canonical_values: [1.0],slot:lost_connection,values: [1.0]| act:INFORM,canonical_values: [4430.0],slot:distance_from_remote_control,values: [4430.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [warning],slot:risk_of_physical_damage,values: [warning]| act:INFORM,canonical_values: [1],slot:object_distance,values: [1]| act:INFORM,canonical_values: [5.0],slot:altitude,values: [5.0]| act:INFORM,canonical_values: [40.0],slot:battery_level,values: [40.0]| act:INFORM,canonical_values: [rocks],slot:object_name,values: [rocks]|| Risk of physical damage and lost connection! The drone has low battery. It's flying at an altitude of 5m. The drone is 4430m away from the remote control.    Risk of physical damage! There's a waterfall in the drone's flight path at a distance of 8m. There are also rocks only 1m away. 
